#                        id   b      mag     nPix_g     nPix_s       sky    skyErr_s   skyStdErr_s    magErr_r    magErr_s    magErr_t    delMag_p    delMag_m
NGVSJ12:26:20.07+12:30:37.1   U   19.201      24829     217855     0.200   2.946e-02     1.473e-02   3.728e-03   1.207e-04   2.045e-02   1.886e-02   1.919e-02
NGVSJ12:26:20.07+12:30:37.1   G   18.121      30049     209855    -0.130   2.399e-02     1.199e-02   1.557e-03   3.999e-05   8.303e-03   6.910e-03   6.954e-03
NGVSJ12:26:20.07+12:30:37.1   R   17.533      53245     188123    -1.553   5.622e-02     2.811e-02   1.770e-03   7.260e-05   1.711e-02   1.662e-02   1.688e-02
NGVSJ12:26:20.07+12:30:37.1   I   17.268      53245     237444    -1.007   1.218e-01     6.088e-02   3.442e-03   1.232e-04   2.859e-02   2.806e-02   2.880e-02
NGVSJ12:26:20.07+12:30:37.1   Z   17.170      77935     256540     4.207   9.479e-02     4.739e-02   6.158e-03   1.060e-04   2.974e-02   2.920e-02   3.000e-02
NGVSJ12:26:20.39+12:34:27.3   U   20.042      56239     113472     0.183   2.862e-02     1.431e-02   1.357e-02   3.830e-04   9.149e-02   8.722e-02   9.484e-02
NGVSJ12:26:20.39+12:34:27.3   G   19.147      80993      95868     0.435   4.755e-02     2.377e-02   7.216e-03   3.348e-04   9.558e-02   9.134e-02   9.974e-02
NGVSJ12:26:20.39+12:34:27.3   R   18.590      80993     102595     0.300   2.735e-02     1.368e-02   6.679e-03   1.153e-04   3.331e-02   3.234e-02   3.333e-02
NGVSJ12:26:20.39+12:34:27.3   I   18.732      39077      98516     4.841   9.745e-02     4.873e-02   1.257e-02   3.253e-04   6.458e-02   6.247e-02   6.628e-02
NGVSJ12:26:20.39+12:34:27.3   Z   18.521      80993     107078     4.990   1.861e-01     9.304e-02   2.299e-02   7.363e-04   2.096e-01   1.916e-01   2.328e-01
NGVSJ12:26:22.61+12:47:11.0   U   18.464     173091     426363     0.367   1.042e-02     5.208e-03   5.925e-03   5.717e-05   2.438e-02   2.353e-02   2.405e-02
NGVSJ12:26:22.61+12:47:11.0   G   17.560      80733     453847     1.402   1.866e-02     9.329e-03   1.794e-03   3.041e-05   9.335e-03   8.607e-03   8.676e-03
NGVSJ12:26:22.61+12:47:11.0   R   17.015     173091     430515     1.203   5.014e-02     2.507e-02   2.375e-03   7.245e-05   3.027e-02   2.973e-02   3.057e-02
NGVSJ12:26:22.61+12:47:11.0   I   16.811      66749     450696     4.875   8.932e-02     4.466e-02   2.870e-03   6.642e-05   1.734e-02   1.703e-02   1.730e-02
NGVSJ12:26:22.61+12:47:11.0   Z   16.723      48323     448138     5.088   1.850e-01     9.248e-02   3.654e-03   1.079e-04   2.384e-02   2.346e-02   2.398e-02
NGVSJ12:26:23.64+13:22:24.7   U   19.607      23609     105825     0.650   1.227e-01     6.133e-02   9.836e-03   7.124e-04   1.098e-01   1.043e-01   1.154e-01
NGVSJ12:26:23.64+13:22:24.7   G   18.299      89669     105825     1.500   1.094e-02     5.468e-03   4.215e-03   3.711e-05   1.217e-02   1.106e-02   1.117e-02
NGVSJ12:26:23.64+13:22:24.7   R   17.858      61217     105822     1.000   6.083e-02     3.042e-02   3.455e-03   1.136e-04   2.840e-02   2.775e-02   2.848e-02
NGVSJ12:26:23.64+13:22:24.7   I   17.763      74063     105825     2.700   6.126e-02     3.063e-02   7.419e-03   1.153e-04   3.162e-02   3.094e-02   3.184e-02
NGVSJ12:26:23.64+13:22:24.7   Z   17.477      74063     105825     3.620   8.222e-02     4.111e-02   9.256e-03   1.189e-04   3.254e-02   3.189e-02   3.286e-02
NGVSJ12:26:24.04+12:25:00.5   U   22.826       1813      39146     0.181   2.061e-02     1.031e-02   3.866e-02   6.433e-04   4.839e-02   2.705e-02   2.774e-02
NGVSJ12:26:24.04+12:25:00.5   G   21.388      16133      37287     1.627   1.927e-02     9.636e-03   2.576e-02   4.772e-04   6.401e-02   5.898e-02   6.237e-02
NGVSJ12:26:24.04+12:25:00.5   R   20.772      16133      36924     1.408   7.672e-02     3.836e-02   2.255e-02   1.077e-03   1.377e-01   1.289e-01   1.462e-01
NGVSJ12:26:24.04+12:25:00.5   I   20.723       5399      38193     2.447   1.014e-01     5.068e-02   2.782e-02   7.869e-04   5.977e-02   5.634e-02   5.942e-02
NGVSJ12:26:24.04+12:25:00.5   Z   21.652        611      39321    38.738   1.252e-01     6.258e-02   6.211e-02   7.690e-04   3.002e-02   1.884e-02   1.918e-02
NGVSJ12:26:26.21+12:39:10.6   U   21.739       9031      60626     0.894   6.004e-02     3.002e-02   2.699e-02   1.537e-03   1.480e-01   1.370e-01   1.568e-01
NGVSJ12:26:26.21+12:39:10.6   G   20.532       9031      58619     1.232   4.666e-02     2.333e-02   8.602e-03   3.929e-04   3.983e-02   3.671e-02   3.800e-02
NGVSJ12:26:26.21+12:39:10.6   R   19.945       9031      58593     1.476   3.857e-02     1.929e-02   7.694e-03   1.892e-04   2.086e-02   1.783e-02   1.813e-02
NGVSJ12:26:26.21+12:39:10.6   I   19.822       6263      60522     4.807   2.213e-01     1.106e-01   1.366e-02   8.069e-04   6.464e-02   6.205e-02   6.581e-02
NGVSJ12:26:26.21+12:39:10.6   Z   19.622       9031      61089     6.237   8.216e-02     4.108e-02   2.073e-02   2.993e-04   2.987e-02   2.807e-02   2.882e-02
NGVSJ12:26:26.30+11:44:08.0   U   22.361       6683      59080     0.100   1.620e-02     8.098e-03   5.228e-02   6.324e-04   6.091e-02   5.051e-02   5.297e-02
NGVSJ12:26:26.30+11:44:08.0   G   21.328      13861      56078     0.272   2.554e-02     1.277e-02   2.809e-02   5.546e-04   6.829e-02   6.340e-02   6.733e-02
NGVSJ12:26:26.30+11:44:08.0   R   20.693       9621      55591     0.162   7.139e-02     3.570e-02   1.931e-02   7.197e-04   7.216e-02   6.840e-02   7.300e-02
NGVSJ12:26:26.30+11:44:08.0   I   20.505       6683      57639     2.722   9.102e-02     4.551e-02   3.098e-02   6.432e-04   5.433e-02   5.135e-02   5.389e-02
NGVSJ12:26:26.30+11:44:08.0   Z   19.470      13861      59559    22.635   7.386e-01     3.693e-01   4.749e-02   2.897e-03   3.412e-01   2.966e-01   4.094e-01
NGVSJ12:26:26.97+12:54:23.6   U   21.765      15805     348212     0.220   3.065e-02     1.533e-02   3.415e-02   1.063e-03   1.359e-01   1.260e-01   1.426e-01
NGVSJ12:26:26.97+12:54:23.6   G   20.697      15805     348214     0.162   3.697e-02     1.848e-02   1.334e-02   4.794e-04   6.210e-02   5.866e-02   6.201e-02
NGVSJ12:26:26.97+12:54:23.6   R   20.038      15805     348214    21.300   4.124e+00     2.062e+00   1.053e-02   2.915e-02   3.664e+00   1.602e+00         nan
NGVSJ12:26:26.97+12:54:23.6   I   19.893      15805     348213     0.100   1.294e-01     6.470e-02   2.151e-02   8.003e-04   1.011e-01   9.622e-02   1.056e-01
NGVSJ12:26:26.97+12:54:23.6   Z   19.537      13065     348212     8.550   3.784e-01     1.892e-01   2.326e-02   1.533e-03   1.754e-01   1.624e-01   1.911e-01
NGVSJ12:26:27.83+12:45:52.7   U   21.928      27633      28237     0.272   4.666e-02     2.333e-02   5.690e-02   2.486e-03   4.141e-01   3.502e-01   5.201e-01
NGVSJ12:26:27.83+12:45:52.7   G   20.822      22839      28237     1.096   1.464e-02     7.319e-03   1.892e-02   2.560e-04   4.181e-02   3.802e-02   3.940e-02
NGVSJ12:26:27.83+12:45:52.7   R   20.263      27633      28236     0.834   3.988e-02     1.994e-02   1.875e-02   4.585e-04   7.720e-02   7.366e-02   7.903e-02
NGVSJ12:26:27.83+12:45:52.7   I   19.976      27633      28237     4.050   2.384e-01     1.192e-01   3.376e-02   2.105e-03   3.500e-01   3.033e-01   4.223e-01
NGVSJ12:26:27.83+12:45:52.7   Z   19.850      27633      28237     4.376   1.568e-01     7.838e-02   4.862e-02   1.232e-03   2.051e-01   1.876e-01   2.270e-01
NGVSJ12:26:28.06+12:55:14.2   U   18.438      81315      50516     2.900   1.675e-01     8.374e-02   4.300e-03   6.151e-04   1.755e-01   1.626e-01   1.913e-01
NGVSJ12:26:28.06+12:55:14.2   G   17.362      67207      50516    10.400   7.038e-01     3.519e-01   1.525e-03   8.723e-04   2.262e-01   2.054e-01   2.536e-01
NGVSJ12:26:28.06+12:55:14.2   R   16.704      81315      50516    18.300   1.291e+00     6.454e-01   1.371e-03   9.599e-04   2.737e-01   2.441e-01   3.154e-01
NGVSJ12:26:28.06+12:55:14.2   I   16.520      67207      50516    27.000   1.730e+00     8.649e-01   2.345e-03   9.871e-04   2.559e-01   2.298e-01   2.918e-01
